Ref,Val,Package,PosX,PosY,Rot,Side
"L3","12uH","L_Bourns_SRR1260",138.420000,56.350000,90.000000,top
"L4","12uH","L_Bourns_SRR1260",138.420000,71.590000,90.000000,top
"R10","10K","R_0603_1608Metric",114.442400,7.455000,90.000000,top
"R11","10K","R_0603_1608Metric",115.966400,7.455000,90.000000,top
"R12","10K","R_0603_1608Metric",117.465000,7.455000,90.000000,top
"R13","10K","R_0603_1608Metric",122.164000,7.455000,90.000000,top
"R14","10K","R_0603_1608Metric",123.688000,7.455000,90.000000,top
"R15","100K","R_0603_1608Metric",146.675000,75.400000,0.000000,top
"R18","0R","R_0805_2012Metric",155.184000,70.320000,0.000000,top
"R19","10K","R_0603_1608Metric",52.695000,21.425000,0.000000,top
"R20","10K","R_0603_1608Metric",52.695000,19.520000,0.000000,top
"R21","10K","R_0603_1608Metric",49.393000,19.520000,180.000000,top
"R22","1K","R_0603_1608Metric",50.155000,15.075000,270.000000,top
"R23","1K","R_0603_1608Metric",65.395000,15.075000,270.000000,top
"R24","1K","R_0603_1608Metric",53.965000,15.075000,270.000000,top
"R25","1K","R_0603_1608Metric",69.205000,15.075000,270.000000,top
"R26","1K","R_0603_1608Metric",57.775000,15.075000,270.000000,top
"R27","1K","R_0603_1608Metric",73.015000,15.075000,270.000000,top
"R28","1K","R_0603_1608Metric",61.585000,15.075000,270.000000,top
"R29","1K","R_0603_1608Metric",76.825000,15.075000,270.000000,top
"R30","1K","R_0603_1608Metric",80.635000,15.075000,270.000000,top
"R31","1K","R_0603_1608Metric",84.445000,15.075000,270.000000,top
"R34","10K","R_0603_1608Metric",147.310000,58.890000,270.000000,top
"R35","100K","R_0603_1608Metric",114.290000,67.145000,180.000000,top
"R38","1M","R_0603_1608Metric",31.740000,68.542000,90.000000,top
"R40","10K","R_0603_1608Metric",38.471000,79.464000,270.000000,top
"R41","49R9","R_0603_1608Metric",24.882000,72.606000,0.000000,top
"R42","49R9","R_0603_1608Metric",24.882000,70.574000,0.000000,top
"R43","49R9","R_0603_1608Metric",24.882000,76.162000,0.000000,top
"R44","49R9","R_0603_1608Metric",24.882000,74.130000,0.000000,top
"R48","12K4","R_0603_1608Metric",31.994000,75.400000,90.000000,top
"R57","1M","R_0603_1608Metric",31.867000,26.632000,90.000000,top
"R59","10K","R_0603_1608Metric",38.344000,37.300000,270.000000,top
